userid,Average Screen Time,Average Spent on App (INR),Left Review,Ratings,New Password Request,Last Visited Minutes,Status,Segments
1001,17.0,634.0,1,9,7,2990,0,Retained
1002,0.0,54.0,0,4,8,24008,1,Churn
1003,37.0,207.0,0,8,5,971,0,Retained
1004,32.0,445.0,1,6,2,799,0,Retained
1005,45.0,427.0,1,5,6,3668,0,Retained
1006,28.0,599.0,0,9,4,2878,0,Retained
1007,49.0,887.0,1,9,6,4481,0,Retained
1008,8.0,31.0,0,2,1,1715,0,Retained
1009,28.0,741.0,1,8,2,801,0,Retained
1010,28.0,524.0,1,8,4,4621,0,Retained
1011,44.0,688.0,1,8,5,1293,0,Retained
1012,24.0,466.0,1,10,4,4214,0,Retained
1013,1.0,49.0,0,3,7,9008,0,Retained
1014,41.0,845.0,0,10,7,3107,0,Retained
1015,32.0,251.0,0,5,4,2595,0,Retained
1016,11.0,169.0,0,10,3,577,0,Retained
1017,38.0,776.0,1,7,4,2965,0,Retained
1018,34.0,341.0,0,6,1,3124,0,Retained
1019,21.0,250.0,0,7,5,3460,0,Retained
1020,18.0,967.0,1,10,6,1925,0,Retained
1021,15.0,774.0,1,7,1,631,0,Retained
1022,34.0,482.0,0,6,8,4057,0,Retained
1023,11.0,645.0,1,9,2,2946,0,Retained
1024,26.0,688.0,0,9,4,4702,0,Retained
1025,34.0,400.0,0,8,4,4189,0,Retained
1026,48.0,73.0,1,10,2,2894,0,Retained
1027,33.0,460.0,0,9,2,1049,0,Retained
1028,49.0,848.0,0,5,4,419,0,Retained
1029,9.0,46.0,0,0,2,3273,0,Retained
1030,47.0,195.0,1,9,4,4060,0,Retained
1031,34.0,114.0,0,9,6,1148,0,Retained
1032,30.0,976.0,1,6,8,4784,0,Retained
1033,35.0,932.0,1,9,4,2808,0,Retained
1034,12.0,243.0,1,5,5,2920,0,Retained
1035,12.0,222.0,0,7,6,4096,0,Retained
1036,22.0,410.0,1,5,7,767,0,Retained
1037,3.0,70.0,0,5,3,3650,0,Retained
1038,0.0,96.0,0,4,6,4107,0,Retained
1039,1.0,97.0,0,1,7,37959,1,Needs Attention
1040,40.0,207.0,1,7,5,2425,0,Retained
1041,41.0,519.0,0,7,2,3511,0,Retained
1042,21.0,621.0,1,5,7,3471,0,Retained
1043,12.0,461.0,0,10,2,2571,0,Retained
1044,4.0,93.0,0,2,8,49334,1,Needs Attention
1045,17.0,800.0,0,10,5,520,0,Retained
1046,43.0,125.0,1,8,5,1553,0,Retained
1047,3.0,34.0,1,5,6,39016,1,Needs Attention
1048,50.0,405.0,0,8,4,4478,0,Retained
1049,19.0,654.0,0,6,5,1197,0,Retained
1050,44.0,908.0,1,10,3,3489,0,Retained
1051,25.0,875.0,1,9,8,644,0,Retained
1052,37.0,519.0,0,5,6,3408,0,Retained
1053,15.0,260.0,1,5,1,1353,0,Retained
1054,42.0,911.0,1,9,1,1356,0,Retained
1055,42.0,214.0,0,10,3,3575,0,Retained
1056,15.0,771.0,1,10,1,3339,0,Retained
1057,45.0,726.0,0,5,1,2587,0,Retained
1058,25.0,110.0,0,9,4,4704,0,Retained
1059,34.0,196.0,0,6,4,3410,0,Retained
1060,37.0,157.0,1,10,7,4131,0,Retained
1061,32.0,912.0,0,10,5,873,0,Retained
1062,5.0,67.0,0,2,6,30435,1,Needs Attention
1063,49.0,889.0,0,10,5,4991,0,Retained
1064,20.0,512.0,1,7,8,3847,0,Retained
1065,5.0,26.0,1,3,6,40868,1,Needs Attention
1066,49.0,202.0,0,6,2,1759,0,Retained
1067,32.0,234.0,1,9,2,2126,0,Retained
1068,37.0,966.0,1,7,2,794,0,Retained
1069,0.0,48.0,1,4,10,26405,1,Churn
1070,8.0,98.0,1,3,7,2483,0,Retained
1071,49.0,723.0,0,9,3,1847,0,Retained
1072,43.0,738.0,0,5,6,4962,0,Retained
1073,39.0,528.0,0,6,2,4237,0,Retained
1074,35.0,881.0,1,10,8,1290,0,Retained
1075,9.0,90.0,0,0,2,453,0,Retained
1076,50.0,360.0,1,7,2,479,0,Retained
1077,40.0,811.0,1,10,8,4574,0,Retained
1078,46.0,398.0,0,7,2,4302,0,Retained
1079,41.0,384.0,1,7,6,4513,0,Retained
1080,11.0,974.0,0,10,4,4076,0,Retained
1081,22.0,222.0,0,10,6,4913,0,Retained
1082,18.0,990.0,1,6,7,3660,0,Retained
1083,39.0,266.0,0,9,4,550,0,Retained
1084,32.0,919.0,1,8,7,1477,0,Retained
1085,44.0,976.0,0,9,5,1710,0,Retained
1086,12.0,436.0,0,5,3,1070,0,Retained
1087,1.0,94.0,1,5,5,42101,1,Needs Attention
1088,46.0,320.0,0,9,4,1757,0,Retained
1089,6.0,17.0,1,4,4,893,0,Retained
1090,48.0,552.0,1,5,4,2273,0,Retained
1091,6.0,61.0,0,4,1,3506,0,Retained
1092,18.0,242.0,0,7,7,517,0,Retained
1093,15.0,543.0,0,10,6,4258,0,Retained
1094,1.0,8.0,1,0,15,33465,1,Needs Attention
1095,23.0,448.0,0,6,6,3292,0,Retained
1096,24.0,252.0,1,8,1,353,0,Retained
1097,0.0,66.0,1,0,2,4370,0,Retained
1098,10.0,42.0,1,2,8,3800,0,Retained
1099,45.0,940.0,0,5,4,2961,0,Retained
1100,3.0,75.0,1,4,12,41859,1,Needs Attention
1101,48.0,528.0,0,7,3,2836,0,Retained
1102,1.0,52.0,1,5,6,6836,0,Retained
1103,47.0,830.0,0,5,3,4354,0,Retained
1104,21.0,559.0,0,10,7,670,0,Retained
1105,9.0,74.0,1,3,2,2449,0,Retained
1106,17.0,804.0,1,9,2,1806,0,Retained
1107,25.0,733.0,0,9,2,4806,0,Retained
1108,45.0,663.0,1,5,7,1481,0,Retained
1109,30.0,763.0,1,9,2,3872,0,Retained
1110,0.0,23.0,0,1,15,22915,1,Churn
1111,11.0,67.0,0,5,4,1829,0,Retained
1112,15.0,115.0,0,5,1,2148,0,Retained
1113,14.0,853.0,0,8,2,2754,0,Retained
1114,17.0,379.0,0,7,8,727,0,Retained
1115,5.0,20.0,1,5,5,13331,0,Churn
1116,26.0,629.0,1,5,2,3982,0,Retained
1117,12.0,508.0,0,6,1,3589,0,Retained
1118,14.0,462.0,0,8,7,229,0,Retained
1119,4.0,93.0,0,0,1,4598,0,Retained
1120,41.0,204.0,0,5,4,3545,0,Retained
1121,31.0,293.0,1,7,2,2905,0,Retained
1122,9.0,31.0,1,3,3,1096,0,Retained
1123,3.0,44.0,1,0,13,28046,1,Churn
1124,19.0,354.0,1,7,6,3008,0,Retained
1125,16.0,971.0,1,6,2,1011,0,Retained
1126,11.0,255.0,0,8,7,2592,0,Retained
1127,19.0,294.0,0,5,1,1515,0,Retained
1128,21.0,682.0,0,5,4,2356,0,Retained
1129,38.0,601.0,0,9,5,4027,0,Retained
1130,30.0,59.0,1,8,2,2147,0,Retained
1131,27.0,627.0,0,7,8,3234,0,Retained
1132,29.0,73.0,0,8,1,432,0,Retained
1133,7.0,5.0,1,2,8,2739,0,Retained
1134,33.0,500.0,0,8,4,963,0,Retained
1135,16.0,364.0,1,6,3,1363,0,Retained
1136,15.0,464.0,0,6,8,1992,0,Retained
1137,10.0,10.0,1,1,8,3452,0,Retained
1138,29.0,87.0,1,6,3,2308,0,Retained
1139,1.0,13.0,0,2,2,12629,0,Churn
1140,19.0,570.0,0,7,8,3105,0,Retained
1141,44.0,667.0,0,7,1,2276,0,Retained
1142,6.0,96.0,0,0,4,1742,0,Retained
1143,33.0,485.0,0,10,1,721,0,Retained
1144,39.0,740.0,0,9,6,3309,0,Retained
1145,9.0,27.0,1,4,7,823,0,Retained
1146,25.0,549.0,1,6,4,3312,0,Retained
1147,2.0,42.0,1,2,11,40603,1,Needs Attention
1148,40.0,219.0,0,8,5,1178,0,Retained
1149,43.0,550.0,1,9,1,4270,0,Retained
1150,16.0,861.0,1,8,1,3428,0,Retained
1151,1.0,95.0,1,2,10,31724,1,Needs Attention
1152,35.0,991.0,0,5,7,1547,0,Retained
1153,43.0,722.0,1,6,4,3163,0,Retained
1154,24.0,84.0,1,8,8,835,0,Retained
1155,7.0,12.0,1,3,5,4848,0,Retained
1156,17.0,153.0,0,6,2,4795,0,Retained
1157,49.0,90.0,1,9,2,2041,0,Retained
1158,17.0,799.0,1,5,3,3900,0,Retained
1159,3.0,83.0,0,0,8,25789,1,Churn
1160,14.0,938.0,0,7,7,1261,0,Retained
1161,24.0,582.0,1,6,3,253,0,Retained
1162,41.0,96.0,1,7,7,3385,0,Retained
1163,44.0,431.0,1,8,1,2008,0,Retained
1164,14.0,402.0,1,8,6,3529,0,Retained
1165,22.0,629.0,0,6,1,360,0,Retained
1166,29.0,91.0,1,7,8,3241,0,Retained
1167,44.0,674.0,1,10,8,4975,0,Retained
1168,23.0,901.0,1,7,6,684,0,Retained
1169,14.0,196.0,0,7,8,2905,0,Retained
1170,46.0,151.0,1,5,4,2354,0,Retained
1171,37.0,564.0,0,7,8,4004,0,Retained
1172,33.0,493.0,1,6,4,2221,0,Retained
1173,12.0,71.0,1,10,5,3853,0,Retained
1174,3.0,46.0,0,2,14,24048,1,Churn
1175,40.0,266.0,0,8,3,3559,0,Retained
1176,29.0,838.0,0,10,7,3737,0,Retained
1177,14.0,135.0,0,5,2,2687,0,Retained
1178,31.0,72.0,0,5,1,4566,0,Retained
1179,50.0,839.0,0,6,5,2351,0,Retained
1180,9.0,12.0,1,1,5,4818,0,Retained
1181,3.0,100.0,0,3,7,29465,1,Churn
1182,4.0,37.0,1,3,5,43650,1,Needs Attention
1183,44.0,867.0,0,10,7,4299,0,Retained
1184,4.0,51.0,0,0,8,38744,1,Needs Attention
1185,45.0,375.0,0,5,8,873,0,Retained
1186,42.0,798.0,0,9,2,4624,0,Retained
1187,40.0,696.0,1,7,8,592,0,Retained
1188,35.0,894.0,0,8,3,1425,0,Retained
1189,17.0,522.0,0,8,6,437,0,Retained
1190,5.0,46.0,0,3,7,1791,0,Retained
1191,19.0,661.0,1,8,1,2640,0,Retained
1192,47.0,750.0,0,6,8,553,0,Retained
1193,20.0,101.0,0,9,7,1194,0,Retained
1194,13.0,73.0,0,9,3,1185,0,Retained
1195,13.0,316.0,1,5,8,1267,0,Retained
1196,30.0,482.0,1,9,5,617,0,Retained
1197,46.0,747.0,0,9,2,1751,0,Retained
1198,7.0,36.0,1,1,5,3735,0,Retained
1199,1.0,92.0,0,1,14,19379,1,Churn
1200,48.0,634.0,1,7,5,4059,0,Retained
1201,29.0,990.0,1,8,6,1340,0,Retained
1202,18.0,212.0,0,5,1,4078,0,Retained
1203,8.0,33.0,0,3,1,2979,0,Retained
1204,37.0,987.0,0,10,6,1393,0,Retained
1205,28.0,892.0,0,7,3,1136,0,Retained
1206,25.0,489.0,1,10,5,2437,0,Retained
1207,2.0,69.0,1,0,7,15053,1,Churn
1208,14.0,279.0,1,6,8,1306,0,Retained
1209,50.0,882.0,0,9,4,203,0,Retained
1210,29.0,721.0,1,7,5,4378,0,Retained
1211,31.0,674.0,1,7,7,3225,0,Retained
1212,24.0,809.0,0,10,4,2020,0,Retained
1213,0.0,93.0,0,4,15,38821,1,Needs Attention
1214,17.0,296.0,1,9,6,2263,0,Retained
1215,9.0,94.0,1,2,6,2608,0,Retained
1216,15.0,372.0,1,9,8,3642,0,Retained
1217,32.0,164.0,1,8,6,622,0,Retained
1218,14.0,146.0,1,9,5,769,0,Retained
1219,41.0,672.0,1,9,3,3850,0,Retained
1220,1.0,16.0,0,5,8,49715,1,Needs Attention
1221,15.0,205.0,0,5,2,3549,0,Retained
1222,26.0,150.0,1,9,2,3150,0,Retained
1223,12.0,836.0,0,5,8,1746,0,Retained
1224,18.0,701.0,1,6,2,2530,0,Retained
1225,14.0,616.0,1,9,7,2984,0,Retained
1226,11.0,378.0,1,10,8,3909,0,Retained
1227,35.0,998.0,0,6,3,2805,0,Retained
1228,3.0,10.0,1,4,8,23311,1,Churn
1229,48.0,298.0,1,6,8,622,0,Retained
1230,24.0,344.0,1,8,4,1872,0,Retained
1231,32.0,496.0,1,7,7,3815,0,Retained
1232,43.0,399.0,1,8,4,407,0,Retained
1233,21.0,520.0,0,5,7,674,0,Retained
1234,7.0,19.0,1,1,1,4092,0,Retained
1235,5.0,0.0,1,1,6,1713,0,Retained
1236,32.0,491.0,0,6,1,4452,0,Retained
1237,50.0,974.0,1,9,7,3002,0,Retained
1238,19.0,865.0,0,9,3,2849,0,Retained
1239,14.0,662.0,0,5,3,1014,0,Retained
1240,41.0,250.0,0,5,8,2119,0,Retained
1241,26.0,485.0,0,9,5,3937,0,Retained
1242,15.0,506.0,0,10,1,3981,0,Retained
1243,37.0,534.0,0,7,1,413,0,Retained
1244,14.0,603.0,0,8,3,1559,0,Retained
1245,31.0,817.0,1,6,5,1072,0,Retained
1246,40.0,300.0,0,9,2,4896,0,Retained
1247,39.0,595.0,1,7,5,1254,0,Retained
1248,26.0,936.0,1,7,3,2373,0,Retained
1249,24.0,488.0,0,6,4,4692,0,Retained
1250,33.0,242.0,0,8,2,3265,0,Retained
1251,10.0,31.0,0,0,8,859,0,Retained
1252,24.0,392.0,0,9,4,1818,0,Retained
